"","description","FDR","enrich","cellType","logFDR"
"174","Senescence-Associated Secretory Phenotype (SASP)",0.00133398550402419,0.769383494953477,"Ast",2.8748488897272
"175","Cellular responses to external stimuli",0.00133779689117854,0.617123484822718,"Ast",2.87360981761165
"176","Interferon gamma signaling",0.00143358975499133,0.67341906306192,"Ast",2.84357511131381
"177","Post-translational protein phosphorylation",0.00143518440432947,0.724741190977166,"Ast",2.84309229360771
"178","Major pathway of rRNA processing in the nucleolus and cytosol",0.00163217049904136,0.641592678291281,"Ast",2.78723447614271
"179","rRNA processing",0.00163217049904136,0.641592678291281,"Ast",2.78723447614271
"180","rRNA processing in the nucleus and cytosol",0.00163217049904136,0.641592678291281,"Ast",2.78723447614271
"181","Cellular Senescence",0.00174536942074907,0.701977897642902,"Ast",2.75811263723619
"182","Selenocysteine synthesis",0.0017657117216902,0.662199858011375,"Ast",2.75308019990841
"183","Influenza Life Cycle",0.00194228289385922,0.652202898369764,"Ast",2.71168751475018
"184","Platelet degranulation",0.00206119817307509,0.646207328030824,"Ast",2.68588025114389
"185","Metabolism of proteins",0.00778454651903894,0.512561380369115,"Ast",2.10876668174908
"186","Cholesterol biosynthesis",0.00941144799920201,0.791826810133822,"Ast",2.02634355301437
"187","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.00967757678821841,0.633558214847659,"Ast",2.01423337401911
"188","Interferon alpha/beta signaling",0.00974698741607008,0.694879068995379,"Ast",2.01112959463453
"189","Transcriptional regulation of white adipocyte differentiation",0.00981546533860999,0.733881646345469,"Ast",2.00808910623209
"190","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",0.00985745077710506,0.673166218297893,"Ast",2.00623538288624
"191","Hemostasis",0.0131636448620359,0.515049330371476,"Ast",1.88062384291812
"192","Regulation of mRNA stability by proteins that bind AU-rich elements",0.0132458408237678,0.76926730701581,"Ast",1.87792046820614
"193","Regulation of expression of SLITs and ROBOs",0.0155130386977068,0.579874460223304,"Ast",1.80930312414725
"194","Infectious disease",0.0167084584347517,0.560141925584044,"Ast",1.77706361738156
"195","Nuclear Receptor transcription pathway",0.0167366930215529,0.834412619509929,"Ast",1.77633034947123
"196","Platelet activation, signaling and aggregation",0.016956437962263,0.547215518460879,"Ast",1.77066537470952
"197","Metabolism of steroids",0.0173996175908222,0.641204511724758,"Ast",1.75946029654618
"198","MAP kinase activation",0.0246324506947161,0.735275663617038,"Ast",1.60849237783831
"199","Regulation of cholesterol biosynthesis by SREBP (SREBF)",0.0264705411534528,0.702719865794298,"Ast",1.57723718006034
"200","Oxidative Stress Induced Senescence",0.0267131905009769,0.697412544720801,"Ast",1.5732742387394
"201","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.027960336164347,0.663264977401738,"Ast",1.55345761141551
"202","Signaling by ROBO receptors",0.0287939512566731,0.551604113277359,"Ast",1.54069873487098
"203","Interleukin-17 signaling",0.0339385674971962,0.710763146976003,"Ast",1.46930649263686
"204","Translation initiation complex formation",0.0381519854150918,0.655519035335872,"Ast",1.41848285659816
"205","Formation of the ternary complex, and subsequently, the 43S complex",0.0381519854150918,0.655519035335872,"Ast",1.41848285659816
"206","Ribosomal scanning and start codon recognition",0.0381519854150918,0.655519035335872,"Ast",1.41848285659816
"207","RHO GTPase Effectors",0.0385429644391804,0.563605224156667,"Ast",1.41405488568299
"208","Influenza Life Cycle",1e-07,0.844555563502243,"Inh",7
"209","Influenza Infection",1e-07,0.841318651069807,"Inh",7
"210","Eukaryotic Translation Elongation",1e-07,0.853755098680033,"Inh",7
"211","Peptide chain elongation",1e-07,0.853755098680033,"Inh",7
"212","Influenza Viral RNA Transcription and Replication",1e-07,0.841997149005032,"Inh",7
"213","L13a-mediated translational silencing of Ceruloplasmin expression",1e-07,0.852721216396612,"Inh",7
"214","Formation of a pool of free 40S subunits",1e-07,0.852721216396612,"Inh",7
"215","GTP hydrolysis and joining of the 60S ribosomal subunit",1e-07,0.852721216396612,"Inh",7
"216","Nonsense-Mediated Decay (NMD)",1e-07,0.852721216396612,"Inh",7
"217","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",1e-07,0.852721216396612,"Inh",7
"218","SRP-dependent cotranslational protein targeting to membrane",1e-07,0.852721216396612,"Inh",7
"219","Viral mRNA Translation",1e-07,0.852721216396612,"Inh",7
"220","Eukaryotic Translation Termination",1e-07,0.852721216396612,"Inh",7
"221","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",1e-07,0.852721216396612,"Inh",7
"222","Major pathway of rRNA processing in the nucleolus and cytosol",1e-07,0.845864490677314,"Inh",7
"223","rRNA processing",1e-07,0.845864490677314,"Inh",7
"224","rRNA processing in the nucleus and cytosol",1e-07,0.845864490677314,"Inh",7
"225","Selenocysteine synthesis",1e-07,0.847975263336934,"Inh",7
"226","Translation",1e-07,0.848505312218993,"Inh",7
"227","Eukaryotic Translation Initiation",1e-07,0.847296931979112,"Inh",7
"228","Cap-dependent Translation Initiation",1e-07,0.847296931979112,"Inh",7
